IDpoklicaSKP,SFpoklicaSKP,Naziv,StatusSF,DATSP,Poklic,IDnadrejeniSKP,SFnadrejeniSKP,SFpoklicaSKPNaziv
1,"0      ",VOJAŠKI POKLICI,A,2011-06-30 15:53:00,NULL,1,"0      ",0 VOJAŠKI POKLICI
2,"01     ",Častniki,A,2011-06-30 15:53:00,NULL,1,"0      ",01 Častniki
3,"011    ",Častniki,A,2011-06-30 15:53:00,NULL,2,"01     ",011 Častniki
4,"0110   ",Častniki,A,2011-06-30 15:53:00,NULL,3,"011    ",0110 Častniki
5,0110.01,Častnik,A,2011-06-30 15:53:00,1,4,"0110   ",0110.01 Častnik
6,"02     ",Podčastniki,A,2011-06-30 15:53:00,NULL,1,"0      ",02 Podčastniki
7,"021    ",Podčastniki,A,2011-06-30 15:53:00,NULL,6,"02     ",021 Podčastniki
8,"0210   ",Podčastniki,A,2011-06-30 15:53:00,NULL,7,"021    ",0210 Podčastniki
9,0210.01,Podčastnik,A,2011-06-30 15:53:00,1,8,"0210   ",0210.01 Podčastnik
10,"03     ",Vojaki,A,2011-06-30 15:53:00,NULL,1,"0      ",03 Vojaki
11,"031    ",Vojaki,A,2011-06-30 15:53:00,NULL,10,"03     ",031 Vojaki
12,"0310   ",Vojaki,A,2011-06-30 15:53:00,NULL,11,"031    ",0310 Vojaki
13,0310.01,Vojak,A,2011-06-30 15:53:00,1,12,"0310   ",0310.01 Vojak
14,"1      ","ZAKONODAJALCI, VISOKI URADNIKI, MENEDŽERJI",A,2011-06-30 15:53:00,NULL,14,"1      ","1 ZAKONODAJALCI, VISOKI URADNIKI, MENEDŽERJI"
15,"11     ","Zakonodajalci, visoki uradniki in člani uprave družbe",A,2011-06-30 15:53:00,NULL,14,"1      ","11 Zakonodajalci, visoki uradniki in člani uprave družbe"
16,"111    ",Zakonodajalci in visoki uradniki,A,2011-06-30 15:53:00,NULL,15,"11     ",111 Zakonodajalci in visoki uradniki
17,"1111   ",Zakonodajalci,A,2011-06-30 15:53:00,NULL,16,"111    ",1111 Zakonodajalci
18,1111.01,Predsednik vlade,A,2011-06-30 15:53:00,1,17,"1111   ",1111.01 Predsednik vlade
19,1111.02,Predsednik republike,A,2011-06-30 15:53:00,1,17,"1111   ",1111.02 Predsednik republike
20,1111.03,Predsednik državnega zbora,A,2011-06-30 15:53:00,1,17,"1111   ",1111.03 Predsednik državnega zbora
21,1111.04,Predsednik državnega sveta,A,2011-06-30 15:53:00,1,17,"1111   ",1111.04 Predsednik državnega sveta
22,1111.05,Svetnik državnega sveta,A,2011-06-30 15:53:00,1,17,"1111   ",1111.05 Svetnik državnega sveta
23,1111.06,Poslanec državnega zbora,A,2011-06-30 15:53:00,1,17,"1111   ",1111.06 Poslanec državnega zbora
24,1111.07,Minister,A,2011-06-30 15:53:00,1,17,"1111   ",1111.07 Minister
25,1111.08,Župan občine,A,2011-06-30 15:53:00,1,17,"1111   ",1111.08 Župan občine
26,1111.09,Podžupan občine,A,2011-06-30 15:53:00,1,17,"1111   ",1111.09 Podžupan občine
27,1111.10,Župan mestne občine,A,2011-06-30 15:53:00,1,17,"1111   ",1111.10 Župan mestne občine
28,1111.11,Podžupan mestne občine,A,2011-06-30 15:53:00,1,17,"1111   ",1111.11 Podžupan mestne občine
29,1111.12,Predsednik sveta krajevne skupnosti,A,2011-06-30 15:53:00,1,17,"1111   ",1111.12 Predsednik sveta krajevne skupnosti
30,1111.13,Predsednik sveta četrtne skupnosti,A,2011-06-30 15:53:00,1,17,"1111   ",1111.13 Predsednik sveta četrtne skupnosti
31,1111.14,Predsednik sveta vaške skupnosti,A,2011-06-30 15:53:00,1,17,"1111   ",1111.14 Predsednik sveta vaške skupnosti
32,1111.15,Predsednik pokrajinskega sveta,A,2011-06-30 15:53:00,1,17,"1111   ",1111.15 Predsednik pokrajinskega sveta
33,1111.16,Predsednik občinskega sveta,A,2011-06-30 15:53:00,1,17,"1111   ",1111.16 Predsednik občinskega sveta
34,"1112   ",Visoki državni uradniki,A,2011-06-30 15:53:00,NULL,16,"111    ",1112 Visoki državni uradniki
35,1112.01,Generalni sekretar državnega zbora,A,2011-06-30 15:53:00,1,34,"1112   ",1112.01 Generalni sekretar državnega zbora
36,1112.02,Sekretar sekretariata za zakonodajo in pravne zadeve,A,2011-06-30 15:53:00,1,34,"1112   ",1112.02 Sekretar sekretariata za zakonodajo in pravne zadeve
37,1112.03,Sekretar poslanske skupine,A,2011-06-30 15:53:00,1,34,"1112   ",1112.03 Sekretar poslanske skupine
38,1112.04,Sekretar delovnega telesa državnega zbora,A,2011-06-30 15:53:00,1,34,"1112   ",1112.04 Sekretar delovnega telesa državnega zbora
39,1112.05,Generalni sekretar vlade,A,2011-06-30 15:53:00,1,34,"1112   ",1112.05 Generalni sekretar vlade
40,1112.06,Predstojnik vladne službe,A,2011-06-30 15:53:00,1,34,"1112   ",1112.06 Predstojnik vladne službe
41,1112.07,Državni sekretar ministrstva,A,2011-06-30 15:53:00,1,34,"1112   ",1112.07 Državni sekretar ministrstva
