IDupEnote,SFupEnote,Naziv,Naslov,IDposte,OEN,SfUEAjpes,IDstatRegije,StatusSF,DATSP
0,9999,NI PODATKA,NULL,NULL,0000,9999,0,P,2007-12-10 12:42:00
1,5501,AJDOVŠČINA,Vipavska cesta 11/b,371,0701,0100,11,A,2006-07-20 09:12:00
2,5502,BREŽICE,Cesta prvih borcev 18,444,1001,0200,6,A,2006-07-20 09:12:00
3,5503,CELJE,Trg celjskih knezov 9,231,0101,0300,4,A,2006-07-20 09:12:00
4,5504,CERKNICA,Cesta 4. maja 24,74,0401,0400,10,A,2006-07-20 09:12:00
5,5505,ČRNOMELJ,Zadružna cesta 16,483,0801,0500,7,A,2006-07-20 09:12:00
6,5506,DOMŽALE,Ljubljanska 69,15,0402,0600,8,A,2006-07-20 09:12:00
7,5507,DRAVOGRAD,Meža 10,210,0901,0700,3,A,2006-07-20 09:12:00
8,5508,GORNJA RADGONA,Partizanska cesta 13,519,0601,0800,1,A,2006-07-20 09:12:00
9,5509,GROSUPLJE,Kolodvorska 2,37,0403,0900,8,A,2006-07-20 09:12:00
10,5510,HRASTNIK,Pot Vitka Pavliča 5,87,1201,1000,5,A,2006-07-20 09:12:00
11,5511,IDRIJA,Študentovska 1,376,0405,1100,11,P,2006-07-20 09:12:00
12,5512,ILIRSKA BISTRICA,Bazoviška 14,406,0201,1200,10,A,2006-07-20 09:12:00
13,5513,IZOLA,Sončno nabrežje 8,421,0202,1300,12,A,2006-07-20 09:12:00
14,5514,JESENICE,Cesta maršala Tita 78,333,0301,1400,9,A,2006-07-20 09:12:00
15,5515,KAMNIK,Glavni trg 24,NULL,0406,1500,8,A,2006-07-20 09:12:00
16,5516,KOČEVJE,Ljubljanska cesta 26,56,0407,1600,7,A,2006-07-20 09:12:00
17,5517,KOPER,"Trg Brolo št. 3, 6000 Koper",388,0203,1700,12,A,2006-07-20 09:12:00
18,5518,KRANJ,Slovenski trg 1,299,0302,1800,9,A,2006-07-20 09:12:00
19,5519,KRŠKO,Cesta krških žrtev 14,456,1002,1900,6,A,2006-07-20 09:12:00
20,5520,LAŠKO,Mestna ulica 2,268,0102,2000,4,A,2006-07-20 09:12:00
21,5521,LENART,Trg osvoboditve 7,141,0501,2100,2,A,2006-07-20 09:12:00
22,5522,LENDAVA,Trg Ljudske pravice 5,503,0602,2200,1,A,2006-07-20 09:12:00
